Code,Film,Genre1,Genre2,Genre3,Year
1,SHAUN OF THE DEAD,HORROR,COMEDY,BRITISH,2004
2,ICE AGE,ANIMATED,FAMILY,COMEDY,2002
3,INDEPENDENCE DAY,SCI-FI,ACTION,ALIEN,1996
4,GREEN MILE,PRISON,THRILLER,SUPERNATURAL,1999
5,WOLF OF WALL STREET,TRUE STORY,COMEDY,CRIME,2013
6,THE DARK KNIGHT,ACTION,CRIME,COMIC,2008
7,FAST AND FURIOUS 7,ACTION,DRIVING,CRIME,2015
8,ALIEN,HORROR,SCI-FI,ALIEN,1979
9,THE PURGE,HORROR,SCI-FI,THRILLER,2013
10,ZOMBIELAND,HORROR,ZOMBIE,COMEDY,2009
11,28 DAYS LATER,HORROR,ZOMBIE,BRITISH,2002
12,GROUNDHOG DAY,ROMANCE,COMEDY,FANTASY,1993
13,PITCH PERFECT,COMEDY,MUSIC,ROMANCE,2012
14,FOCUS,CRIME,DRAMA,ROMANCE,2015
15,GREASE,MUSICAL,DRAMA,ROMANCE,1978
16,SCREAM 1,HORROR,THRILLER,TEENAGE,1996
17,SCREAM 2,HORROR,THRILLER,TEENAGE,1997
18,SCREAM 3,HORROR,THRILLER,TEENAGE,2000
19,SCREAM 4,HORROR,THRILLER,TEENAGE,2011
20,AMERICAN PIE,COMEDY,ROMANCE,TEENAGE,1999
21,ALADDIN,ANIMATED,FAMILY,ROMANCE,1992
22,SHUTTER ISLAND,PSYCHOLOGICAL,THRILLER,MYSTERY,2010
23,HUGO,WAR,DRAMA,MYSTERY,2011
24,HAPPY GILMORE,COMEDY,SPORT,FAMILY,1996
25,CARS,ANIMATED,DRIVING,FAMILY,2006
26,SPACE JAM,ANIMATED,FAMILY,SPORT,2011
27,STRAIGHT OUTTA COMPTON,BIOGRAPHY,DRAMA,MUSIC,2015
28,MAGIC MIKE,COMEDY,DRAMA,MUSIC,2012
29,STEP UP,DRAMA,MUSIC,ROMANCE,2006
30,SHREK,ANIMATED,COMEDY,FAMILY,2001
31,DEADPOOL,COMIC,COMEDY,ACTION,2016
32,ZOOLANDER,FASHION,COMEDY,FAMILY,2001
33,ZOOLANDER 2,FASHION,COMEDY,FAMILY,2016
34,SKYFALL,SPY,ACTION,BRITISH,2012
35,LEFT BEHIND,ACTION,FANTASY,THRILLER,2014
36,FIGHT CLUB,DRAMA,PSYCHOLOGICAL ,ACTION,1999
37,FORREST GUMP,DRAMA,ROMANCE,FEEL-GOOD,1994
38,MATRIX,SCI-FI,FUTURISTIC,ACTION,1999
39,THE MARTIAN,ADVENTURE,SCI-FI,DRAMA,2015
40,ICE AGE THE MELTDOWN,ANIMATED,FAMILY,COMEDY,2006
41,ICE AGE CONTINENTAL DRIFT,ANIMATED,FAMILY,COMEDY,2012
42,THE PURGE ANARCHY,HORROR,SCI-FI,THRILLER,2014
43,28 WEEKS LATER,HORROR,ZOMBIE,BRITISH,2007
44,PITCH PERFECT 2,COMEDY,MUSIC,ROMANCE,2015
45,CARS 2,ANIMATED,DRIVING,FAMILY,2011
46,BATMAN BEGINS,ACTION,COMIC,CRIME,2005
47,THE DARK KNIGHT RISES,ACTION,COMIC,CRIME,2012
48,THE JUNGLE BOOK,ADVENTURE,FAMILY,FANTASY,2016
49,PULP FICTION,CRIME,DRAMA,GANGSTER,1994
50,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,ACTION,ADVENTURE,SCI-FI,1980
51,DAWN OF THE DEAD ,HORROR,ZOMBIE,ACTION,2004
52,SAVING PRIVATE RYAN,ACTION,DRAMA,WAR,1998
53,HOW TO TRAIN YOUR DRAGON,ANIMATION,ADVENTURE,FAMILY,2010
54,GROWN UPS,COMEDY,FAMILY,DRAMA,2010
55,TOY STORY,ANIMATION,FAMILY,COMEDY,1995
56,ENEMY AT THE GATES,DRAMA,HISTORY,WAR,2001
57,THE HUNGER GAMES,DRAMA,ADVENTURE,SCI-FI,2012
58,BATMAN V SUPERMAN: DAWN OF JUSTICE,COMIC,ACTION,SCI-FI,2016
59,THE SOCIAL NETWORK,BIOGRAPHY,DRAMA,TECHNOLOGY,2010
60,THOR: THE DARK WORLD,ACTION,COMIC,ADVENTURE,2013
61,THE HUNGER GAMES: CATCHING FIRE,DRAMA,ADVENTURE,SCI-FI,2013
62,THE HUNGER GAMES: MOCKINGJAY - PART 1,DRAMA,ADVENTURE,SCI-FI,2014
63,THE HUNGER GAMES: MOCKINGJAY - PART 2,DRAMA,ADVENTURE,SCI-FI,2015
64,STAR WARS: EPISODE VII - THE FORCE AWAKENS,ACTION,ADVENTURE,SCI-FI,2015
65,STAR WARS: EPISODE IV - A NEW HOPE,ACTION,ADVENTURE,SCI-FI,1977
